time_idx,open_time
3737,2025-10-31 19:19:00+00:00
3738,2025-10-31 19:20:00+00:00
3739,2025-10-31 19:21:00+00:00
3740,2025-10-31 19:22:00+00:00
3741,2025-10-31 19:23:00+00:00
3742,2025-10-31 19:24:00+00:00
3743,2025-10-31 19:25:00+00:00
3744,2025-10-31 19:26:00+00:00
3745,2025-10-31 19:27:00+00:00
3746,2025-10-31 19:28:00+00:00
3747,2025-10-31 19:29:00+00:00
3748,2025-10-31 19:30:00+00:00
3749,2025-10-31 19:31:00+00:00
3750,2025-10-31 19:32:00+00:00
3751,2025-10-31 19:33:00+00:00
3752,2025-10-31 19:34:00+00:00
3753,2025-10-31 19:35:00+00:00
3754,2025-10-31 19:36:00+00:00
3755,2025-10-31 19:37:00+00:00
3756,2025-10-31 19:38:00+00:00
3757,2025-10-31 19:39:00+00:00
3758,2025-10-31 19:40:00+00:00
3759,2025-10-31 19:41:00+00:00
3760,2025-10-31 19:42:00+00:00
3761,2025-10-31 19:43:00+00:00
3762,2025-10-31 19:44:00+00:00
3763,2025-10-31 19:45:00+00:00
3764,2025-10-31 19:46:00+00:00
3765,2025-10-31 19:47:00+00:00
3766,2025-10-31 19:48:00+00:00
3767,2025-10-31 19:49:00+00:00
3768,2025-10-31 19:50:00+00:00
3769,2025-10-31 19:51:00+00:00
3770,2025-10-31 19:52:00+00:00
3771,2025-10-31 19:53:00+00:00
3772,2025-10-31 19:54:00+00:00
3773,2025-10-31 19:55:00+00:00
3774,2025-10-31 19:56:00+00:00
3775,2025-10-31 19:57:00+00:00
3776,2025-10-31 19:58:00+00:00
3777,2025-10-31 19:59:00+00:00
3778,2025-10-31 20:00:00+00:00
3779,2025-10-31 20:01:00+00:00
3780,2025-10-31 20:02:00+00:00
3781,2025-10-31 20:03:00+00:00
3782,2025-10-31 20:04:00+00:00
3783,2025-10-31 20:05:00+00:00
3784,2025-10-31 20:06:00+00:00
3785,2025-10-31 20:07:00+00:00
3786,2025-10-31 20:08:00+00:00
3787,2025-10-31 20:09:00+00:00
3788,2025-10-31 20:10:00+00:00
3789,2025-10-31 20:11:00+00:00
3790,2025-10-31 20:12:00+00:00
3791,2025-10-31 20:13:00+00:00
3792,2025-10-31 20:14:00+00:00
3793,2025-10-31 20:15:00+00:00
3794,2025-10-31 20:16:00+00:00
3795,2025-10-31 20:17:00+00:00
3796,2025-10-31 20:18:00+00:00
3797,2025-10-31 20:19:00+00:00
3798,2025-10-31 20:20:00+00:00
3799,2025-10-31 20:21:00+00:00
3800,2025-10-31 20:22:00+00:00
3801,2025-10-31 20:23:00+00:00
3802,2025-10-31 20:24:00+00:00
3803,2025-10-31 20:25:00+00:00
3804,2025-10-31 20:26:00+00:00
3805,2025-10-31 20:27:00+00:00
3806,2025-10-31 20:28:00+00:00
3807,2025-10-31 20:29:00+00:00
3808,2025-10-31 20:30:00+00:00
3809,2025-10-31 20:31:00+00:00
3810,2025-10-31 20:32:00+00:00
3811,2025-10-31 20:33:00+00:00
3812,2025-10-31 20:34:00+00:00
3813,2025-10-31 20:35:00+00:00
3814,2025-10-31 20:36:00+00:00
3815,2025-10-31 20:37:00+00:00
3816,2025-10-31 20:38:00+00:00
3817,2025-10-31 20:39:00+00:00
3818,2025-10-31 20:40:00+00:00
3819,2025-10-31 20:41:00+00:00
3820,2025-10-31 20:42:00+00:00
3821,2025-10-31 20:43:00+00:00
3822,2025-10-31 20:44:00+00:00
3823,2025-10-31 20:45:00+00:00
3824,2025-10-31 20:46:00+00:00
3825,2025-10-31 20:47:00+00:00
3826,2025-10-31 20:48:00+00:00
3827,2025-10-31 20:49:00+00:00
3828,2025-10-31 20:50:00+00:00
3829,2025-10-31 20:51:00+00:00
3830,2025-10-31 20:52:00+00:00
3831,2025-10-31 20:53:00+00:00
3832,2025-10-31 20:54:00+00:00
3833,2025-10-31 20:55:00+00:00
3834,2025-10-31 20:56:00+00:00
3835,2025-10-31 20:57:00+00:00
3836,2025-10-31 20:58:00+00:00
3837,2025-10-31 20:59:00+00:00
3838,2025-10-31 21:00:00+00:00
3839,2025-10-31 21:01:00+00:00
3840,2025-10-31 21:02:00+00:00
3841,2025-10-31 21:03:00+00:00
3842,2025-10-31 21:04:00+00:00
3843,2025-10-31 21:05:00+00:00
3844,2025-10-31 21:06:00+00:00
3845,2025-10-31 21:07:00+00:00
3846,2025-10-31 21:08:00+00:00
3847,2025-10-31 21:09:00+00:00
3848,2025-10-31 21:10:00+00:00
3849,2025-10-31 21:11:00+00:00
3850,2025-10-31 21:12:00+00:00
3851,2025-10-31 21:13:00+00:00
3852,2025-10-31 21:14:00+00:00
3853,2025-10-31 21:15:00+00:00
3854,2025-10-31 21:16:00+00:00
3855,2025-10-31 21:17:00+00:00
3856,2025-10-31 21:18:00+00:00
3857,2025-10-31 21:19:00+00:00
3858,2025-10-31 21:20:00+00:00
3859,2025-10-31 21:21:00+00:00
3860,2025-10-31 21:22:00+00:00
3861,2025-10-31 21:23:00+00:00
3862,2025-10-31 21:24:00+00:00
3863,2025-10-31 21:25:00+00:00
3864,2025-10-31 21:26:00+00:00
3865,2025-10-31 21:27:00+00:00
3866,2025-10-31 21:28:00+00:00
3867,2025-10-31 21:29:00+00:00
3868,2025-10-31 21:30:00+00:00
3869,2025-10-31 21:31:00+00:00
3870,2025-10-31 21:32:00+00:00
3871,2025-10-31 21:33:00+00:00
3872,2025-10-31 21:34:00+00:00
3873,2025-10-31 21:35:00+00:00
3874,2025-10-31 21:36:00+00:00
3875,2025-10-31 21:37:00+00:00
3876,2025-10-31 21:38:00+00:00
3877,2025-10-31 21:39:00+00:00
3878,2025-10-31 21:40:00+00:00
3879,2025-10-31 21:41:00+00:00
3880,2025-10-31 21:42:00+00:00
3881,2025-10-31 21:43:00+00:00
3882,2025-10-31 21:44:00+00:00
